Event,Event type,Speaker?,Finalized,Date,Day of Week,Time,Location,Location Booked?,Event Leader(s),Event Description,Target audience(s),Need to have Lab Students attend?,Need Faculty to attend?,Notes,Co-Run w/Other Club?,Name of Other Potential Funders?,Budget,Budget Submitted?,Food,Food Ordered?,Prizes + Price,Link to Prizes,Total,Budget Spent,Left-Over Budget
G1000 Workshop,HUGE Event,TBD,FALSE,10/24/2025,Friday,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
AI Olympics (mini Bthon: multiple clubs ),HUGE Event,Yes,TRUE,10/25/2025,Saturday,11AM-4PM,LGRAC,FALSE,ALL,"Step into the arena where creativity, competition, and technology collide. The Babson AI Olympics is an all-campus event that invites clubs, athletic teams, and student organizations to test their skills across a series of AI-powered challenges.

Competitions will span disciplines, from technical sprints to creative showcases:

Coding Golf: precision problem-solving in as few lines as possible.

Vibe Coding: freestyle building where imagination meets automation.

AI-Driven Pitch Games: marketing, sales, and startup ideas sharpened in real time.

Design + Creativity Challenges: from AI-generated campaigns to rapid prototyping.

Wildcard Events: sports analytics, data visualization relays, and surprise prompt engineering comp.","Babson Students, Generator Team, Babson Faculty",TBD,Optional,,All Clubs Possible,,"$3,000.00",FALSE,TBD,FALSE,$600 - 2 ATOM Potensic drones ,https://store.potensic.com/products/atom-se?variant=43740785770750&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=4&gad_campaignid=22761576167&gbraid=0AAAAABRDXETP2AcSPe1Cbta0M5-KucHt-&gclid=Cj0KCQjw-4XFBhCBARIsAAdNOkvFo6taI_ChpOiwzs7wXW4R3Yl5MjwawuvbDtLRlfBMVwqOiUW0eNYaAl-TEALw_wcB,$0.00,$0.00,$0.00
Large Room VR Product Design comp (PBJ),Major Event,TBD,FALSE,11/4/2025,Tuesday,6-8PM,HELV Global Lounge,FALSE,"Cole, Reece, LIZ","We show the community the text to image to 3d to Vr workflow, input the 3d models into a shared VR space where we do a product design intro and competition. We'll have a vote on the best designs and they'll win a prize or funds to design a new product  ","Babson Students, Greater Boston",TBD,Optional,7 Quest 3 needed,PB+J,,"$4,800.00",FALSE,$500 - TBD,FALSE,$300 - Meta Quest 3s,https://www.amazon.com/Meta-Quest-128GB-Cardboard-Exclusive-Oculus/dp/B0F2GYMC8H/ref=asc_df_B0F2GYMC8H?tag=bingshoppinga-20&linkCode=df0&hvadid=80745583694646&hvnetw=o&hvqmt=e&hvbmt=be&hvdev=c&hvlocint=&hvlocphy=103346&hvtargid=pla-4584345052578618&msclkid=dcbb4074611f1271408928d6d0a43fce&th=1,$0.00,$0.00,$0.00
Generator 3rd Annual Buildathon ,HUGE Event,Yes,FALSE,11/15/2025,Saturday,10AM-8PM,Weissman Foundry,FALSE,ALL,"Join us for an energizing one-day AI hackathon at the Weissman Foundry! In partnership with Microsoft Research, this event challenges Babson, Olin, and Wellesley students to build innovative AI solutions. Whether you're a tech enthusiast or an aspiring entrepreneur, come ready to ideate, create, and pitch your AI-powered ventures. No prior coding experience required - bring your entrepreneurial spirit and creative mindset! ","Greater Boston, Babson Students",TBD,Yes,,,,"$7,500.00",FALSE,TBD,FALSE,(NOT BUDGETING PRIZ MONEY),,$0.00,$0.00,$0.00
AI in Real Estate investing (with CRE & AIC),Regular Event,TBD,FALSE,12/2/2025,Tuesday,6-8PM,Weisman Classroom/Cutler Center,FALSE,"Gavin, Spencer","Join The Generator, Babson Real Estate Club, and AI Club for a collaborative event exploring how artificial intelligence is reshaping real estate investing from end to end. We’ll walk through tools and workflows that streamline contract formation, accelerate due diligence, and unlock smarter market analysis. Learn how AI can aggregate comps, identify undervalued assets, and optimize portfolio strategies in real time.",Babson Students,TBD,No,,CRE / AIC,,$500.00,FALSE,$500 - TBD,FALSE,,,$0.00,$0.00,$0.00
Generator Cafe,All Semester Event,No,FALSE,9/13/25 - 12/1/25,,10AM-12PM,Weissman Foundry,FALSE,ALL,"Join us for Generator Cafe, a weekly collaborative workspace where student builders, tech enthusiasts, and aspiring entrepreneurs come together to create, share, and innovate! In partnership with DAM and other Babson tech organizations, we're transforming the Foundry into a dynamic hub for students working on tech and AI projects. Whether you're actively building or just curious about getting started, Builder's Day is your opportunity to connect with like-minded creators, share ideas, and turn your concepts into reality. Come be part of Babson's growing tech and AI community as we build the future together! ","Babson Students, Greater Boston, Explorers (Generator), Generator Team",TBD,No,,,,,FALSE,,FALSE,,,$0.00,$0.00,$0.00
Friendgroup MatchMaking with AI (Web app leading up to 10/17),All Semester Event,No,FALSE,,,,Online ,FALSE,Spencer,"Powering this event is The Generator’s custom-built matchmaking webapp—a tool that blends personality profiling, interest-mapping, and behavioral pattern recognition to connect Babson students in fresh ways. Here’s how it works:

Compatibility Scoring: AI models analyze participant inputs to create ranked match lists.

Dynamic Grouping: Matches aren’t one-on-one alone; groups are created to spark both friendships and chemistry.

Date Match Highlight: Each group includes one “highlighted match,” a potential spark revealed in real time at the event.

The goal isn’t just romance—it’s about creating genuine connections across campus using AI in a way that’s both social and a little bit daring.","Babson Students, Freshman / New Students",,,Might do earlier because ,,,,FALSE,,FALSE,,,,,
Women In AI Day,TBD,Yes,FALSE,TBD,TBD,TBD,TBD,FALSE,"Diana, Sabrina, LIZ",,TBD,TBD,TBD,,,,,FALSE,,FALSE,,,$0.00,$0.00,$0.00
G1000 Workshop 2,Major Event,No,FALSE,10/24/2025,Friday,,Weissman Foundry,FALSE,Gavin,,"Babson Students, Greater Boston",,,,,,,FALSE,,FALSE,,,,,
SPRING,,,,,,,,,,,,,,,,,,FALSE,,FALSE,,,$0.00,$0.00,$0.00
Roundtable: Claiming Your Value in the Era of AI - Future of Work Collab,Regular Event,,FALSE,10/6/2025,Monday,TBD,Weissman Foundry,FALSE,,,TBD,TBD,TBD,,,,,FALSE,,FALSE,,,$0.00,$0.00,$0.00
Can AI be Creative? ,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,$0.00
Pitchathon (Pitch your startup to VCs),,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
AI + Healthcare ,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
